Field Name,FIX Tag,Short Description,Is Signed-Off,Default Value,Data Type,Last Update User,Start Date,Jira No,Long Description,OPS Critical Tag,System,PII Information Level Type,PII Element Name
EncodedSubjectLen,356,Byte length of encoded (non-ASCII characters) EncodedSubject field.,Y,,,tejasd,1.14469E+12,,,,,,
EncodedSubject,357,"Encoded (non-ASCII characters) representation of the Subject field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should also be specified in the Subject field.",Y,,,tejasd,1.14469E+12,,,,,,
EncodedHeadlineLen,358,Byte length of encoded (non-ASCII characters) EncodedHeadline field.,Y,,,tejasd,1.14469E+12,,,,,,
EncodedHeadline,359,"Encoded (non-ASCII characters) representation of the Headline field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should also be specified in the Headline field.",Y,,,tejasd,1.14469E+12,,,,,,
EncodedAllocTextLen,360,Byte length of encoded (non-ASCII characters) EncodedAllocText field.,Y,,String,maugeth,1.32886E+12,,,,,,
EncodedAllocText,361,"Encoded (non-ASCII characters) representation of the AllocText field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should also be specified in the AllocText field.",Y,,String,maugeth,1.32886E+12,,,,,,
EncodedUnderlyingIssuerLen,362,Byte length of encoded (non-ASCII characters) EncodedUnderlyingIssuer field.,Y,,String,smore,1.27787E+12,,,,,,
EncodedUnderlyingIssuer,363,"Encoded (non-ASCII characters) representation of the UnderlyingIssuer field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should also be specified in the UnderlyingIssuer field.",Y,,String,smore,1.27787E+12,,,,,,
EncodedUnderlyingSecurityDescLen,364,Byte length of encoded (non-ASCII characters) EncodedUnderlyingSecurityDesc field.,Y,,String,smore,1.27787E+12,,,,,,
EncodedUnderlyingSecurityDesc,365,"Encoded (non-ASCII characters) representation of the UnderlyingSecurityDesc field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should also be specified in the UnderlyingSecurityeDesc  field.",Y,,String,smore,1.27787E+12,,,,,,
AllocPrice,366,Executed price for an AllocAccount entry used when using executed price vs. average price allocations (e.g. Japan).,Y,,,maugeth,1.32886E+12,,,,,,
QuoteSetValidUntilTime,367,"Indicates expiration time of this particular QuoteSet (always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,Date,tejasd,1.14469E+12,,,,,,
QuoteEntryRejectReason,368,Reason Quote Entry was rejected,Y,,,tejasd,1.14469E+12,,,,,,
LastMsgSeqNumProcessed,369,The last MsgSeqNum value received and processed.  Can be specified on every message sent.  Useful for detecting a backlog with a counterparty.,Y,,,tejasd,1.14469E+12,,,,,,
OnBehalfOfSendingTime,370,Used when msg sent via a hub or service bureau. Deprecated in FIX 4.3. It has been replaced in FIX 4.3 by the use of HopSendingTime (tag 629) field which is part of the Hops repeating group ( in GMT ),Y,,,tejasd,1.14469E+12,,,,,,
RefTagID,371,The tag number of the FIX field being referenced. Deprecated in FIX 4.3. It has been replaced in FIX 4.3 by the use of HopSendingTime (tag 629) field which is part of the Hops repeating group,Y,,,tejasd,1.14469E+12,,,,,,
RefMsgType,372,The MsgType of the FIX message being referenced.,Y,,String,anandshi,1.35152E+12,,,,,,
SessionRejectReason,373,Code to identify reason for a session-level Reject message.,Y,,,tejasd,1.14469E+12,,,,,,
BidRequestTransType,374,Identifies the Bid Request message type.,Y,,,tejasd,1.14469E+12,,,,,,
contraBroker,375,Identifies contra broker.  Standard NASD market-maker mnemonic is preferred. Note: This field is used by TC to look up the brokerAccount for booking and settlement (See BrokerAccountDriverSets in Halo).,Y,,String,liuzhe,1.65231E+12,,,CRITICAL,TC|C|Required for interna,,
ComplianceID,376,ID used to represent this transaction for compliance purposes (e.g. OATS reporting).,Y,,String,rashmr,1.40203E+12,,,,,,
solicitedFlag,377,Indicates whether or not the order was solicited.,Y,,String,tejasd,1.14469E+12,,,,,,
execRestatementReason,378,Code to identify reason for an ExecutionRpt message sent with ExecType is Restated or used when communicating an unsolicited cancel.,Y,,String,maugeth,1.30891E+12,,,,,,
orderRestateReason,378,Code to identify reason for an ExecutionRpt message sent with ExecType is Restated or used when communicating an unsolicited cancel.,Y,,String,tejasd,1.14469E+12,,,,,,
BusinessRejectRefID,379,The value of the business-level ID field on the message being referenced.,Y,,String,anandshi,1.37423E+12,,,,,,
BusinessRejectReason,380,Code to identify reason for a Business Message Reject message.,Y,,String,anandshi,1.35152E+12,,,,,,
GrossTradeAmt,381,Total amount traded (e.g. CumQty * AvgPx) expressed in units of currency.,Y,,String,maugeth,1.32885E+12,,,,,,
NoContraBrokers,382,The number of ContraBroker entries.,Y,,,tejasd,1.14469E+12,,,,,,
MaxMessageSize,383,Maximum number of bytes supported for a single message.,Y,,,tejasd,1.14469E+12,,,,,,
NoMsgTypes,384,Number of MsgTypes in repeating group.,Y,,,tejasd,1.14469E+12,,,,,,
MsgDirection,385,Specifies the direction of the messsage.,Y,,String,smore,1.27779E+12,,,,,,
NoTradingSessions,386,Number of TradingSessionIDs in repeating group.,Y,,,tejasd,1.14469E+12,,,,,,
TotalVolumeTraded,387,Total volume (quantity) traded.,Y,,Float,smore,1.27779E+12,,,,,,
DiscretionInst,388,Code to identify the price a DiscretionOffset is related to and should be mathematically added to.,Y,,String,tejasd,1.14469E+12,,,,,,
DiscretionOffset,389,Amount (signed) added to the related to price specified via DiscretionInst.,Y,,String,tejasd,1.14469E+12,,,,,,
BidID,390,"Unique identifier for Bid Response as assigned by by sell-side (broker, exchange, ECN). Uniqueness must be guaranteed within a single trading day.",Y,,,tejasd,1.14469E+12,,,,,,
ClientBidID,391,Unique identifier for a Bid Request as assigned by institution.  Uniqueness must be guaranteed within a single trading day.,Y,,,tejasd,1.14469E+12,,,,,,
ListName,392,Descriptive name for list order.,Y,,,tejasd,1.14469E+12,,,,,,
TotalNumSecurities,393,Total number of securities.,Y,,,tejasd,1.14469E+12,,,,,,
BidType,394,Code to identify the type of Bid Request.,Y,,String,maugeth,1.30891E+12,,,,,,
NumTickets,395,Total number of tickets.,Y,,,tejasd,1.14469E+12,,,,,,
SideValue1,396,Amounts in currency,Y,,,tejasd,1.14469E+12,,,,,,
SideValue2,397,Amounts in currency,Y,,,tejasd,1.14469E+12,,,,,,
NoBidDescriptors,398,Number of BidDescriptor entries.,Y,,,tejasd,1.14469E+12,,,,,,
BidDescriptorType,399,Code to identify the type of BidDescriptor.,Y,,,tejasd,1.14469E+12,,,,,,
BidDescriptor,400,BidDescriptor value.  Usage depends upon BidDescriptorType.,Y,,,tejasd,1.14469E+12,,,,,,
SideValueInd,401,Code to identify which SideValue the value refers to.  SideValue1 and SideValue2 are used as opposed to Buy or Sell so that the basket can be quoted either way as Buy or Sell.,Y,,String,tejasd,1.14469E+12,,,,,,
LiquidityPctLow,402,Liquidity indicator or lower limit if TotalNumSecurities > 1.  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
LiquidityPctHigh,403,Upper liquidity indicator if TotalNumSecurities > 1.  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
LiquidityValue,404,Value between LiquidityPctLow and LiquidityPctHigh in Currency,Y,,,tejasd,1.14469E+12,,,,,,
EFPTrackingError,405,Eg Used in EFP trades 12percent (EFP - Exchange for Physical ).  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
FairValue,406,Used in EFP trades,Y,,Float,tejasd,1.14469E+12,,,,,,
OutsideIndexPct,407,Used in EFP trades.  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
ValueOfFutures,408,Used in EFP trades,Y,,,tejasd,1.14469E+12,,,,,,
LiquidityIndType,409,Code to identify the type of liquidity indicator.,N,,String,sumithrs,1.52882E+12,,,,,,
WtAverageLiquidity,410,Overall weighted average liquidity expressed as a percent of average daily volume.  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
ExchangeForPhysical,411,Indicates whether or not to exchange for physical.,Y,,String,jennyliu,,,,,,,
OutMainCntryUIndex,412,Value of stocks in Currency,Y,,,tejasd,1.14469E+12,,,,,,
CrossPercent,413,Percentage of program that crosses in Currency.  Represented as a percentage.,Y,,,tejasd,1.14469E+12,,,,,,
ProgRptReqs,414,Code to identify the desired frequency of progress reports.,Y,,,tejasd,1.14469E+12,,,,,,
ProgPeriodInterval,415,Time in minutes between each ListStatus report sent by SellSide. Zero means dont send status.,Y,,,tejasd,1.14469E+12,,,,,,
IncTaxInd,416,Code to represent whether value is net (inclusive of tax) or gross.,Y,,,tejasd,1.14469E+12,,,,,,
NumBidders,417,Indicates the total number of bidders on the list,Y,,,tejasd,1.14469E+12,,,,,,
TradeType,418,Code to represent the type of trade.,Y,,,tejasd,1.14469E+12,,,,,,
BasisPxType,419,Code to represent the basis price type.,Y,,,tejasd,1.14469E+12,,,,,,
NoBidComponents,420,Indicates the number of list entries.,Y,,,tejasd,1.14469E+12,,,,,,
Country,421,ISO Country Code in field,Y,,,tejasd,1.14469E+12,,,,,,
TotNoStrikes,422,Total number of strike price entries across all messages. Should be the sum of all NoStrikes in each message that has repeating strike price entries related to the same ListID.  Used to support fragmentation.,Y,,,tejasd,1.14469E+12,,,,,,
priceType,423,"Code to represent the price type.  Note that internally, we use 10608.",Y,,String,kaleami,1.53382E+12,,,,,,
dayOrderQty,424,"For GT orders, the OrderQty less all quantity (adjusted for stock splits) that traded on previous days.  DayOrderQty is OrderQty - (CumQty - DayCumQty)",Y,,Float,tejasd,1.14469E+12,,,,,,
dayCumQty,425,Quantity on a GT order that has traded today.,Y,,Float,tejasd,1.14469E+12,,,,,,
dayAvgPx,426,The average price for quantity on a GT order that has traded today.,Y,,,tejasd,1.14469E+12,,,,,,
GTBookingInst,427,Code to identify whether to book out executions on a part-filled GT order on the day of execution or to accumulate.,Y,,,tejasd,1.14469E+12,,,,,,
NoStrikes,428,Number of list strike price entries.,Y,,,tejasd,1.14469E+12,,,,,,
ListStatusType,429,Code to represent the status type.,Y,,String,anandshi,1.35541E+12,,,,,,
NetGrossInd,430,Code to represent whether value is net (inclusive of tax) or gross.,Y,,String,tejasd,1.14469E+12,,,,,,
ListOrderStatus,431,Code to represent the status of a list order.,Y,,String,anandshi,1.35541E+12,,,,,,
expireDate,432,"Date of order expiration (last day the order can trade), always expressed in terms of the local market date.  The time at which the order expires is determined by the local markets business practices",Y,,Date,nadaraja,1.69702E+12,,,,,,
ListExecInstType,433,Identifies the type of ListExecInst.,Y,,,tejasd,1.14469E+12,,,,,,
CxlRejResponseTo,434,Identifies the type of request that a Cancel Reject is in response to.,Y,,String,anandshi,1.34885E+12,,,,,,
UnderlyingCouponRate,435,Underlying securitys CouponRate.     See CouponRate field for description,Y,,Float,anandshi,1.35782E+12,,,,,,
UnderlyingContractMultiplier,436,Underlying securitys ContractMultiplier.     See ContractMultiplier field for description,Y,,Float,anandshi,1.35782E+12,,,,,,
ContraTradeQty,437,Quantity traded with the ContraBroker.,Y,,,mdudani,1.40795E+12,,,,,,
ContraTradeTime,438,"Identifes the time of the trade with the ContraBroker.   (always expressed in UTC (Universal Time Coordinated, also known as GMT) ( in GMT )",Y,,,mdudani,1.40795E+12,,,,,,
ClearingFirm,439,Firm that will clear the trade. No longer used as of FIX 4.3 - decommissioned. This field introduced have been removed and the equivalent values can now be specified via PartyRole (452). With valid value 4 = Clearing Firm,Y,,String,anandshi,1.34997E+12,,,,,,
clientClearingBroker,439,Firm that will clear the trade. No longer used as of FIX 4.3 - decommissioned. This field introduced have been removed and the equivalent values can now be specified via PartyRole (452). With valid value 4 = Clearing Firm,Y,,String,tejasd,1.14469E+12,,,,,,
clearingAccount,440,Supplemental accounting information forwared to clearing house/firm. No longer used as of FIX 4.3 - decommissioned. This field have been removed and the equivalent values can now be specified via PartyRole (452).With valid value 4 = Clearing Firm,Y,,String,liuzhe,1.65231E+12,,,YES,TC|Y|Driver of C&#x2F;P Accoun,,
sourceAccount,440,Supplemental accounting information forwared to clearing house/firm. No longer used as of FIX 4.3 - decommissioned. This field have been removed and the equivalent values can now be specified via PartyRole (452).With valid value 4 = Clearing Firm,Y,,String,tejasd,1.14469E+12,,,,TC|Y|Driver of C&#x2F;P Accoun,,
LiquidityNumSecurities,441,Number of Securites between LiquidityPctLow and LiquidityPctHigh in Currency,Y,,,tejasd,1.14469E+12,,,,,,
multiLegReportingType,442,"Used to indicate what an Execution Report represents (e.g. used with multi-leg securiteis, such as option strategies, spreads, etc.)",Y,,String,tejasd,1.14469E+12,,,,,,
multiLegType,442,"Used to indicate what an Execution Report represents (e.g. used with multi-leg securiteis, such as option strategies, spreads, etc.)",Y,,String,anandshi,1.34623E+12,,,,,,
StrikeTime,443,The time at which current market prices are used to determine the value of a basket ( in GMT ),Y,,Date,,1.29828E+12,,,,,,
ListStatusText,444,Free format text string related to List Status,Y,,,tejasd,1.14469E+12,,,,,,
EncodedListStatusTextLen,445,Byte length of encoded (non-ASCII characters) EncodedListStatusText field,Y,,,tejasd,1.14469E+12,,,,,,
EncodedListStatusText,446,"Encoded (non-ASCII characters) representation of the ListStatusText field in the encoded format specified via the MessageEncoding field. If used, the ASCII (English) representation should al so be specified in the ListStatusText field",Y,,,tejasd,1.14469E+12,,,,,,
PartyIDSource,447,Identifies class or source of the PartyID value.  Required if PartyID is specified.  Note: applicable values depend upon PartyRole specified,Y,,String,simrob,1.50519E+12,,,,,,
PartyID,448,Party identifier/code,Y,,String,mdudani,1.37147E+12,,,,,,
TotalVolumeTradedDate,449,Date of TotalVolumeTraded,Y,,,tejasd,1.14469E+12,,,,,,
TotalVolumeTraded_Time,450,Time of TotalVolumeTraded ( in GMT ),Y,,,tejasd,1.14469E+12,,,,,,
NetChgPrevDay,451,Net change from previous day's closing price vs. last traded price,Y,,,tejasd,1.14469E+12,,,,,,
PartyRole,452,Identifies the type or role of the PartyID specified,Y,,String,simrob,1.50519E+12,,,,,,
NoPartyIDs,453,"Number of PartyID, PartyIDSource, and PartyRole entries",Y,,Integer,mdudani,1.38503E+12,,,,,,
NoSecurityAltID,454,Number of SecurityAltID entries,Y,,String,panagopo,1.67594E+12,,,,,,
SecurityAltID,455,"Alternate Security identifier value for this security of SecurityAltIDSource type (e.g. CUSIP, SEDOL, ISIN, etc).  Requires SecurityAltIDSource",Y,,String,panagopo,1.67638E+12,PLAT-12537,,,,,
SecurityAltIDSource,456,Identifies class or source of the SecurityAltID value.  Required if SecurityAltID is specified,Y,,String,panagopo,1.67638E+12,PLAT-12537,,,,,
NoUnderlyingSecurityAltID,457,Number of UnderlyingSecurityAltID entries,Y,,,tejasd,1.14469E+12,,,,,,
UnderlyingSecurityAltID,458,"Alternate Security identifier value forthis underlying security of UnderlyingSecurityAltIDSource type (e.g. CUSIP, SEDOL, ISIN, etc).  Requires UnderlyingSecurityAltIDSource",Y,,,tejasd,1.14469E+12,,,,,,
UnderlyingSecurityAltIDSource,459,Identifies class or source of the UnderlyingSecurityAltID value.  Required if UnderlyingSecurityAltID is specified,Y,,,tejasd,1.14469E+12,,,,,,
Product,460,Indicates the type of product the security is associated with,Y,,String,monacant,1.38134E+12,,,,,,
CFICode,461,"Indicates the type of security using  ISO 10962 standard, Classification of Financial Instruments (CFI code) values",Y,,String,schrier,1.4254E+12,,,,,,
UnderlyingProduct,462,Underlying security's Product,Y,,,tejasd,1.14469E+12,,,,,,
UnderlyingCFICode,463,Underlying security's CFICode,Y,,String,smore,1.27787E+12,,,,,,
TestMessageIndicator,464,Indicates whether or not this FIX Session is a test vs. production connection.  Useful for preventing accidents,Y,,String,tejasd,1.14469E+12,,,,,,
quantityType,465,Designates the type of quantities (e.g. OrderQty) specified.  Used for MBS and TIPS Fixed Income security types,Y,,String,tejasd,1.14469E+12,,,,,,
BookingRefID,466,Common reference passed to a post-trade booking process (e.g. industry matching utility,Y,,String,maugeth,1.32706E+12,,,,,,
IndividualAllocID,467,Unique identifier for a specific NoAllocs repeating group instance (e.g. for an AllocAccount),Y,,String,anandshi,1.35722E+12,,,,,,
RoundingDirection,468,Specifies which direction to round  For CIV - indicates whether or not the quantity of shares/units is to be rounded and in which direction where OrderCashAmt or (for CIV only) OrderPercent are specified on an order,Y,,,tejasd,1.14469E+12,,,,,,
RoundingModulus,469,"For CIV - a float value indicating the value to which rounding is required  i.e. 10 means round to a multiple of 10 units/shares
0.5 means round to a multiple of 0.5 units/shares",Y,,,tejasd,1.14469E+12,,,,,,
CountryOfIssue,470,ISO Country code of instrument issue (e.g. the country portion typically used in ISIN).  Can be used in conjunction with non-ISIN SecurityID (e.g. CUSIP for Municipal Bonds without ISIN) to provide uniqueness,Y,,String,monacant,1.37088E+12,,,,,,
StateOrProvinceOfIssue,471, A two-character state or province abbreviation,Y,,,tejasd,1.14469E+12,,,,,,
LocaleOfIssue,472,Identifies the locale. For Municipal Security Issuers other than state or province,Y,,,tejasd,1.14469E+12,,,,,,
NoRegistDtls,473,The number of registration details on a Registration Instructions message,Y,,,tejasd,1.14469E+12,,,,,,
MailingDtls,474,"Set of Correspondence address details, possibly including phone, fax, etc",Y,,,tejasd,1.14469E+12,,,,,,
InvestorCountryOfResidence,475,The ISO 3166 Country code (2 character) identifying which country the beneficial investor is resident for tax purposes,Y,,,tejasd,1.14469E+12,,,,,,
PaymentRef,476,"Settlement Payment Reference - A free format Payment reference to assist with reconciliation, e.g. a Client and/or Order ID number",Y,,,tejasd,1.14469E+12,,,,,,
DistribPaymentMethod,477,A code identifying the payment method for a ( fractional) distribution,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribCurr,478,Specifies currency to be use for Cash Distrib utions,Y,,,tejasd,1.14469E+12,,,,,,
CommCurrency,479,Specifies currency to be  use for Commission if the Commission currency is different from the Deal Currency,Y,,String,maugeth,1.32886E+12,,,,,,
CancellationRights,480,For CIV - A one character code identifying whe ther Cancellation rights/Cooling off period applies,Y, ,,gayakwad,1.14469E+12,,,,,,
MoneyLaunderingStatus,481,For CIV - A one character code identifying Money laundering status,Y,,,tejasd,1.14469E+12,,,,,,
MailingInst,482,"Free format text to specify mailing instruction requirements, e.g. no third party mailings",Y,,,tejasd,1.14469E+12,,,,,,
TransBkdTime,483,For CIV A date and time stamp to indicate the time a CIV order was booked by the fund manager ( in GMT ),Y,,,tejasd,1.14469E+12,,,,,,
ExecPriceType,484,For CIV - Identifies how the execution price LastPx was calculated from the fund unit/share price(s) calculated at the fund valuation point,Y,,,tejasd,1.14469E+12,,,,,,
ExecPriceAdjustment,485,"For CIV the amount or percentage by which the fund unit/share price was adjusted, as indicated by ExecPriceType",Y,,,tejasd,1.14469E+12,,,,,,
DateOfBirth,486,"The date of birth applicable to the individual, e.g. required to open some types of tax-exempt account",Y,,,tejasd,1.14469E+12,,,,,,
TradeReportTransType,487,Identifies Trade Report message transaction type,Y,,String,anandshi,1.34676E+12,,,,,,
CardHolderName,488,The name of the payment card holder as specified on the card being used for payment,Y,,,tejasd,1.14469E+12,,,,,,
CardNumber,489,The number of the payment card as specified on the card being used for payment,Y,,,tejasd,1.14469E+12,,,,,,
CardExpDate,490,The expiry date of the payment card as specified on the card being used for payment,Y,,,tejasd,1.14469E+12,,,,,,
CardIssNo,491,The issue number of the payment card as specified on the card being used for payment. This is only applicable to certain types of card,Y, ,,gayakwad,1.14469E+12,,,,,,
PaymentMethod,492,A code identifying the Settlement payment method,Y,,,tejasd,1.14469E+12,,,,,,
RegistAcctType,493,For CIV - a  fund manager-defined code identifying which of the fund manager's account types is required,Y,,,tejasd,1.14469E+12,,,,,,
Designation,494,"Free format text defining the designation to be associated with a holding on the register.  Used to identify assets of a specific underlying investor using a common registration, e.g. a broker's nominee or street name",Y,,,tejasd,1.14469E+12,,,,,,
TaxAdvantageType,495,For CIV - a code identifying the type of tax exempt account in which purchased shares/units are to be held,Y,,,tejasd,1.14469E+12,,,,,,
RegistRejReasonText,496,Text indicating reason(s) why a Registration Instruction has been rejected,Y,,,tejasd,1.14469E+12,,,,,,
FundRenewWaiv,497,A one character code identifying whether the Fund based renewal commission is to be waived,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribAgentName,498,Name of local agent bank if for cash distributions,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribAgentCode,499,BIC (Bank Identification Code--Swift managed) code of  agent bank for cash distributions,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribAgentAcctNumber,500,Account number at agent bank for distributions,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribPayRef,501,Free format Payment reference to assist with reconciliation of distributions,Y,,,tejasd,1.14469E+12,,,,,,
CashDistribAgentAcctName,502,Name of account at agent bank for distributions,Y,,,tejasd,1.14469E+12,,,,,,
CardStartDate,503,The start date of the card as specified on the card being used for payment,Y,,,tejasd,1.14469E+12,,,,,,
PaymentDate,504,The date written on a cheque or date payment should  be submitted to the relevant clearing system,Y,,,tejasd,1.14469E+12,,,,,,
PaymentRemitterID,505,"Identifies sender of a payment, e.g. the payment remitter or a customer reference number",Y,,,tejasd,1.14469E+12,,,,,,
RegistStatus,506,Registration status as returned by the broker or  (for CIV) the fund manager,Y,,,tejasd,1.14469E+12,,,,,,
RegistRejReasonCode,507,Reason(s) why Registration Instructions has been rejected,Y,,,tejasd,1.14469E+12,,,,,,
RegistRefID,508,Reference identifier for the RegistID with Cancel and Replace RegistTransType transaction types,Y,,,tejasd,1.14469E+12,,,,,,
RegistDetls,509,"Set of Registration name and address details, possibly including phone, fax etc",Y,,,tejasd,1.14469E+12,,,,,,
NoDistribInsts,510,The number of Distribution Instructions on a Registration Instructions message,Y,,,tejasd,1.14469E+12,,,,,,
RegistEmail,511,Email address relating to Registration name and address details,Y,,,tejasd,1.14469E+12,,,,,,
DistribPercentage,512,"The amount of each distribution to go to this beneficiary, expressed as a percentage",Y,,,tejasd,1.14469E+12,,,,,,
RegistID,513,Unique identifier of the registration details as assigned by institution or intermediary,Y,,,tejasd,1.14469E+12,,,,,,
RegistTransType,514,Identifies Registration Instructions transaction type Valid values,Y,,,tejasd,1.14469E+12,,,,,,
ExecValuationPoint,515,For CIV - a date and time stamp to indicate the fund valuation point with respect to which a order was priced by the fund manager,Y,,,tejasd,1.14469E+12,,,,,,
OrderPercent,516,For CIV specifies the approximate order quantity desired. For a CIV Sale it specifies percentage of investor's total holding to be sold. For a CIV switch/exchange it specifies percentage of investor's cash realised from sales to be re-invested,Y,,String,smore,1.27788E+12,,,,,,
OwnershipType,517,The relationship between Registration parties,Y,,,tejasd,1.14469E+12,,,,,,
NoContAmts,518,The number of Contract Amount details on an Execution Report message,Y,,,tejasd,1.14469E+12,,,,,,
ContAmtType,519,Type of Contract Amount,Y,,,tejasd,1.14469E+12,,,,,,
ContAmtValue,520,"Value of Contract Amount, e.g. a financial amount or percentage as indicated by ContAmtType",Y,,,tejasd,1.14469E+12,,,,,,
ContAmtCurr,521,Specifies currency for the Contract amount if different from the Deal Currency,Y,,,tejasd,1.14469E+12,,,,,,
OwnerType,522,Identifies the type of owner,Y,,,tejasd,1.14469E+12,,,,,,
PartySubID,523,"Sub-identifier (e.g. Clearing Account for PartyRole= Clearing Firm, Locate ID # for PartyRole=Locate/Lending Firm, etc).  Not required when using PartyID, PartyIDSource, and PartyRole",Y,,String,tejasd,1.14469E+12,,,,,,
NestedPartyID,524,PartyID value within a nested repeating group,Y,,String,tejasd,1.14469E+12,,,,,,
NestedPartyIDSource,525,PartyIDSource value within a nested repeating group,Y,,String,malays,1.27798E+12,,,,,,
SecondaryClOrdID,526,Assigned by the party which originates the order.  Can be used to provide the ClOrdID used by an exchange or executing system,Y,,String,anandshi,1.37423E+12,,,,,,
SecondaryExecID,527,Assigned by the party which accepts the order. Can be used to provide the ExecID used by an exchange or executing system,Y,,String,malays,1.27716E+12,,,,,,
OrdCapacity,528,Designates the capacity of the firm placing the order,Y,,String,mirzaabd,1.48396E+12,,,,,,
OrderRestrictions,529,"Restrictions associated with an order.  If more than one restriction is applicable to an order, this field can contain multiple instructions separated by space",Y,,,tejasd,1.14469E+12,,,,,,
MassCancelRequestType,530,Specifies scope of Order Mass Cancel Request,Y,,String,anandshi,1.35541E+12,,,,,,
MassCancelResponse,531,Specifies the action taken by counterparty order handling system as a result of the Order Mass Cancel Request,Y,,,tejasd,1.14469E+12,,,,,,
MassCancelRejectReason,532,Reason Order Mass Cancel Request was rejected,Y,,,tejasd,1.14469E+12,,,,,,
TotalAffectedOrders,533,Total number of orders affected by mass cancelrequest,Y,,String,anandshi,1.34815E+12,,,,,,
NoAffectedOrders,534,Number of affected orders in the repeating group of order ids,Y,,,tejasd,1.14469E+12,,,,,,
AffectedOrderID,535,OrderID of an order affected by a mass cancel request,Y, ,,gayakwad,1.14469E+12,,,,,,
AffectedSecondaryOrderID,536,SecondaryOrderID of an order affected by a mass cancel request,Y, ,,gayakwad,1.14469E+12,,,,,,
QuoteTyp,537,Identifies the type of quote. FIX standard tag - use 7507 internally.,Y,,String,maugeth,1.30891E+12,,,,,,
NestedPartyRole,538,PartyRole value within a nested repeating group,Y,,String,malays,1.27798E+12,,,,,,
NoNestedPartyIDs,539,"Number of NestedPartyID, NestedPartyIDSource, and NestedPartyRole entries",Y,,,tejasd,1.14469E+12,,,,,,
TotalAccruedInterestAmt,540,Total Amount of Accrued Interest for convertible bonds and fixed income,Y,,,tejasd,1.14469E+12,,,,,,
MaturityDate,541,Date of maturity (a full date). Note that standardized derivatives which are typically only referenced by month and year (e.g. S&P futures) may use MaturityMonthYear (200) and/or this field.,Y,,String,anandshi,1.36006E+12,,,,,,
UnderlyingMaturityDate,542,Underlying security's maturity date,Y,,String,girishj,1.45493E+12,,,,,,
InstrRegistry,543,"The location at which records of ownership are maintained for this instrument, and at which ownership changes must be recorded",Y,,,tejasd,1.14469E+12,,,,,,
CashMargin,544,Identifies whether an order is a margin order or a non-margin order. This is primarily used when sending orders to Japanese exchanges to indicate sell margin or buy to cover,Y,,,tejasd,1.14469E+12,,,,,,
NestedPartySubID,545,PartySubID value within a nested repeating group,Y,,String,malays,1.27798E+12,,,,,,
Scope,546,Defines the scope of a data element,Y,,String,smore,1.27779E+12,,,,,,
MDImplicitDelete,547,Defines how a server handles distribution of a truncated book. Defaults to broker option,Y,,,tejasd,1.14469E+12,,,,,,
testupgrade,548,short desc,N,default value,Date,boujlili,1.7183E+12,PANDQ-25002,long desc,YES,BREAK MON|C|null;REPORTING|Y|null;TAPS|N|null,Client,"Account Number,Business Name,First Name"
ExternalCrossType,549,Type of cross being submitted to a market. [Note: Fix protocol has this tag as CrossType and the valid values are not the same. MS uses this field for Deriv markets.],Y,,String,mirzaabd,1.60273E+12,,Type of cross being submitted to a market. [Note: Fix protocol has this tag as CrossType and the valid values are not the same. MS uses this field for Deriv markets.],,,,
CrossPrioritization,550,Indicates if one side or the other of a cross order should be prioritized,Y,,String,fangzhod,1.38569E+12,,,,,,
OrigCrossID,551,"CrossID of the previous cross order (NOT the initial cross order of the day) as assigned by the institution, used to identify the previous cross order in Cross Cancel and Cross Cancel/Replace Requests",Y,,,tejasd,1.14469E+12,,,,,,
NoSides,552,Number of Side repeating group instances,Y,,Integer,monacant,1.36691E+12,,,,,,
Username,553,Userid or username,Y,,String,anandshi,1.36023E+12,,,,,,
Password,554,Password or passphrase,Y,,,tejasd,1.14469E+12,,,,,,
NoLegs,555,Number of InstrumentLeg repeating group instances,Y,,String,panagopo,1.67638E+12,,,,,,
LegCurrency,556,Currency associated with a particular Leg's quantity,Y,,String,mirzaabd,1.35936E+12,,,,,,
TotalNumSecurityTypes,557,Indicates total number of security types in the event that multiple Security Type messages are used to return results,Y,,,tejasd,1.14469E+12,,,,,,
NoSecurityTypes,558,Number of Security Type repeating group instances,Y,,,tejasd,1.14469E+12,,,,,,
SecurityListRequestType,559,Identifies the type/criteria of Security List Request,Y,,,tejasd,1.14469E+12,,,,,,
